"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"521340 Moiporá";-;-;-
"521350 Monte Alegre de Goiás";-;-;-
"521370 Montes Claros de Goiás";-;-;-
"521375 Montividiu";1;1;1
"521377 Montividiu do Norte";-;-;-
"521380 Morrinhos";12;12;4
"521385 Morro Agudo de Goiás";-;-;-
"521390 Mossâmedes";-;-;-
"521400 Mozarlândia";-;-;-
"521405 Mundo Novo";-;-;-
"521410 Mutunópolis";-;-;-
"521440 Nazário";-;-;-
"521450 Nerópolis";31;31;1
"521460 Niquelândia";7;7;1
"521470 Nova América";-;-;-
"521480 Nova Aurora";-;-;-
"521483 Nova Crixás";-;-;-
"521486 Nova Glória";-;-;-
"521487 Nova Iguaçu de Goiás";-;-;-
"521490 Nova Roma";-;-;-
"521500 Nova Veneza";1;1;1
"521520 Novo Brasil";-;-;-
"521523 Novo Gama";-;-;-
"521525 Novo Planalto";-;-;-
"521530 Orizona";-;-;-
"521540 Ouro Verde de Goiás";-;-;-
"521550 Ouvidor";-;-;-
"521560 Padre Bernardo";-;-;-
"521565 Palestina de Goiás";-;-;-
"521570 Palmeiras de Goiás";-;-;-
"521580 Palmelo";-;-;-
"521590 Palminópolis";1;1;1
"521600 Panamá";-;-;-
"521630 Paranaiguara";2;2;1
"521640 Paraúna";1;1;1
"521645 Perolândia";-;-;-
"521680 Petrolina de Goiás";-;-;-
"521690 Pilar de Goiás";-;-;-
"521710 Piracanjuba";2;2;1
"521720 Piranhas";-;-;-
"521730 Pirenópolis";8;6;1
"521740 Pires do Rio";1;1;1
"521760 Planaltina";3;3;1
"521770 Pontalina";1;1;1
"521800 Porangatu";3;3;2
"521805 Porteirão";1;1;1
"521810 Portelândia";-;-;-
"521830 Posse";3;3;1
"521839 Professor Jamil";-;-;-
"521850 Quirinópolis";4;4;1
"521860 Rialma";-;-;-
"521870 Rianápolis";-;-;-
"521878 Rio Quente";-;-;-
"521880 Rio Verde";55;55;7
"521890 Rubiataba";-;-;-
"521900 Sanclerlândia";2;2;1
"521910 Santa Bárbara de Goiás";-;-;-
"521920 Santa Cruz de Goiás";-;-;-
"521925 Santa Fé de Goiás";-;-;-
"521930 Santa Helena de Goiás";27;27;4
"521935 Santa Isabel";-;-;-
"521940 Santa Rita do Araguaia";-;-;-
"521945 Santa Rita do Novo Destino";-;-;-
"521950 Santa Rosa de Goiás";-;-;-
"521960 Santa Tereza de Goiás";-;-;-
"521970 Santa Terezinha de Goiás";-;-;-
"521971 Santo Antônio da Barra";-;-;-
"521973 Santo Antônio de Goiás";1;1;1
"521975 Santo Antônio do Descoberto";3;2;2
"521980 São Domingos";-;-;-
"521990 São Francisco de Goiás";-;-;-
"522000 São João d'Aliança";1;-;1
"522005 São João da Paraúna";-;-;-
"522010 São Luís de Montes Belos";8;8;2
"522015 São Luíz do Norte";-;-;-
"522020 São Miguel do Araguaia";-;-;-
"522026 São Miguel do Passa Quatro";-;-;-
"522028 São Patrício";-;-;-
"522040 São Simão";3;3;1
"522045 Senador Canedo";15;15;4
"522050 Serranópolis";-;-;-
"522060 Silvânia";1;1;1
"522068 Simolândia";-;-;-
"522070 Sítio d'Abadia";-;-;-
"522100 Taquaral de Goiás";-;-;-
"522108 Teresina de Goiás";-;-;-
"522119 Terezópolis de Goiás";-;-;-
"522130 Três Ranchos";-;-;-
"522140 Trindade";15;13;3
"522145 Trombas";-;-;-
"522150 Turvânia";-;-;-
"522155 Turvelândia";-;-;-
"522157 Uirapuru";-;-;-
"522160 Uruaçu";9;9;4
"522170 Uruana";1;1;1
"522180 Urutaí";-;-;-
"522185 Valparaíso de Goiás";9;9;3
"522190 Varjão";1;1;1
"522200 Vianópolis";1;1;1
"522205 Vicentinópolis";1;1;1
"522220 Vila Boa";-;-;-
"522230 Vila Propício";-;-;-
"520000 Município ignorado - GO";-;-;-
"530010 Brasília";2127;2015;59
"000000 Ignorado ou exterior";-;-;-
"Total";65411;61772;5869
